record_id,next_lesson_attended,m1_retained
81ff05fb-03ef-4f5a-9ec2-7af871c45df7,1,1
580bf911-6ee4-4efb-ab7c-e72d9cdeec36,1,0
d32dede3-218c-4610-910e-a8e5d4c366f0,1,1
aa88c786-80b9-4473-befb-1f97a3b87184,1,1
fd628bd8-ec94-488f-9532-999b486dd417,1,1
11cce30e-93d1-4260-a808-725e2fa43073,1,0
a3c72660-a6e4-4c73-ac94-6478b231e6e5,1,1
1c7c38c4-37e2-446f-a6bf-fd937abec2ea,0,1
e0f4288b-a3c3-46ac-bca0-926d89ffd76b,1,1
8e1e92b1-d606-4cc9-92e7-f95e24cfbdaf,0,0
ea3ac38f-8299-4f84-bf74-0bfd9fc31008,1,1
c94ecbd7-9050-4681-8b20-ff5e1dd4723d,1,1
ee6dc53c-27c5-489d-b54b-be6faf8c5266,1,1
922adfc9-7cfc-4e2e-8937-af1be14e1518,1,1
fe9d49a1-9f06-4266-a5f1-403e6115143c,1,1
cfe1cced-d829-4001-9d78-7608b7451b57,1,1
068a7f79-6683-4662-a1e4-762d27b8f565,1,1
a95ed95e-cf7f-458f-badb-7b1eefc7860c,1,1
f723fa1c-639a-4166-8702-4ad7c15591e0,1,1
87f3a084-a8da-4ee0-b799-093bd51c0efb,0,1
dcd86a89-1184-473e-b985-25d271b05784,1,1
673c21d7-a08a-41b3-883a-dcfa9b440d48,1,0
68b7e0b9-8017-44a9-8d1e-7fac2bc1f991,1,1
1b2d1487-b286-41bb-822d-b3d674a6aaa7,1,1
a01afbf2-5eca-4dda-bdf2-9969b2a6f1bc,1,1
501aabea-af0b-4e2c-9434-2f3edb4d0736,1,1
eded1e2b-51a7-4f49-bba7-eecf53c2166a,1,1
c8206282-f152-4b84-856a-9af0c68e636d,1,1
98ff1440-65d4-460b-bc57-a696e4352362,1,1
a379f3d0-1c4b-47d6-8e48-2ac8f748e7fe,1,1
62689195-1b9f-4908-84b6-ebca2e021d90,0,1
aa3a81f4-e74c-4e82-bf79-d87d2c55951f,1,1
274f976a-d5bd-4694-b380-e8177f1247aa,1,1
5967730e-acd1-4cba-8307-e19fb087a5c1,1,1
09795d15-609c-4af4-ab86-59b1e7a313cf,1,1
a1f8b262-0f4a-407a-8068-fe6e1cffdd0d,1,0
e3424d58-9c6a-4550-8f36-9abedbdd9a38,1,1
47c24c3b-cc39-4bab-9959-f7a543aed171,0,1
d66eff1f-70d9-4e0d-bd3c-e6284d3979b4,0,0
ab65b42c-4bf0-43c7-99d6-3ec60b446c03,1,1
4c3d7151-9640-4cf2-b2eb-c27d184d4c40,1,0
0e3993e4-ead9-4d60-8536-1710a86330b5,1,0
afd1a911-db9d-4d1f-bf97-1742dfd214a9,1,1
debb22bf-7ffb-4e75-8c61-e4daa8a71e26,1,1
c8e61430-1bef-4613-a3a5-b39fd7957228,1,1
274accab-0b5b-43f5-845a-7a4df5e7c6a1,0,1
bb106e1d-526d-432b-b8a3-78c3365a9367,1,0
e7fcf863-aaff-4812-9599-96f0633e0e99,1,0
2ba471f0-5189-458e-8b95-74e0fdde895a,0,1
f5eb99c4-3818-4180-a1ad-6ee1e79ef0f2,1,1
da0d0ad1-c503-4388-98db-5fb349e97343,1,1
8c89bd88-604b-448d-bfc2-26e4c4321e04,1,0
ee88c00b-bf8f-4064-ad02-931b0d13a153,1,1
a0f2a228-6596-4852-8bdd-c4d3146024f4,0,0
db0b5095-272d-418e-aca4-83c78ed64cae,0,1
744ea65f-7baf-41ee-be78-d9a536c48b6b,1,1
fdb2eab7-2c55-4323-a39a-7bd6ac883ba2,1,1
45096843-382d-4e3f-8eea-33682088e6bb,1,0
9fa6eaa0-bef8-4016-bc09-ce666994d60d,1,0
aad76cf9-469b-44f8-b782-a1f95b7c4923,1,1
7001c03e-c59c-4463-92d5-27c46f8afbd4,1,1
0b96553e-7d58-41e6-b17e-6fbceb29f80f,1,0
5ad0bf62-f7d0-47b0-9c03-33289b486814,1,1
a8b95261-718f-4803-8990-a1fd9953d0aa,1,1
be2131c0-24b9-4b32-b1a6-d97afb7f298f,1,0
da58e634-edd1-4786-b307-f5304b0cfcaa,0,0
c08fc6ea-deb4-45bc-9347-52e47adc8517,1,1
275d33db-541e-493b-8abf-14796fbe9ccc,1,1
3702330b-49e5-4b67-9aec-3fb3dc50db7e,1,0
19f23088-4ccb-4081-bd9c-0b704b2a636c,1,1
9e208baa-cab6-470c-9276-28f7fc95aa99,0,1
59c397a4-fbc0-4448-82f9-9bb4911c5580,1,0
3e05e1f4-77e9-471b-a345-3150faa4ce1c,0,1
d125cdcc-f431-4eb7-aa5e-d5da79a58470,1,1
442313dc-5798-4b40-abef-3da8dd904deb,1,0
681177e2-1d2b-4534-8582-51270d9d8e5d,1,1
e52b2f13-454b-41c0-a122-b37136d49f5d,0,1
bc6e762a-a000-4300-af3d-36993791fcb2,1,1
997f7c13-3649-49a6-a5a3-3eacab6a73b9,1,1
a42e5f80-165f-46f4-918a-dc77dca2c105,1,1
e81f2d5a-f10e-41f4-854f-ebbd6354880c,1,0
1568223f-2795-44e4-8fc4-494969cd6c84,1,0
2f944b2f-fb00-41c5-981b-c6926435eb02,1,1
de010594-8f08-46e8-b469-d0cf005a1dc3,1,1
5b9af9bc-3473-4bac-923b-568e0d8f2636,1,1
e8009def-6d0b-443f-9e58-8a5a47c4ea74,0,1
e89d6292-14be-4a55-aca1-6226c3cdcecf,1,1
2df4dec3-df04-432f-ae9d-f17b85b0c22c,1,1
3d2d71a3-cfb8-48b0-a563-a864c4c51848,1,1
